"topic_title";"topic";"version";"canton";"publication_data";"contract_required_data";"publication_wms";"contract_required_wms";"comment";"updated"
"Amtliche Vermessung";"av";"24.0";"AG";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"AI";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"AR";"Freigabe erforderlich";False;"Freigabe erforderlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"BE";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"BL";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"BS";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"FL";"Im Aufbau";False;"Freigabe erforderlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"FR";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"GE";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"GL";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"GR";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"JU";"Freigabe erforderlich";True;"Frei erhältlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"LU";"Freigabe erforderlich";True;"Frei erhältlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"NE";"Freigabe erforderlich";True;"Frei erhältlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"NW";"Freigabe erforderlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"OW";"Freigabe erforderlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"SG";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"SH";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"SO";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"SZ";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"TG";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"TI";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"UR";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"VD";"Freigabe erforderlich";True;"Frei erhältlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"VS";"Im Aufbau";False;"Im Aufbau";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"ZG";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Amtliche Vermessung";"av";"24.0";"ZH";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Elektrische Anlagen mit einer Nennspannung von über 36 kV";"elektrische_anlagen_ueber_36kv_v1_0";"1.0";"Broker";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"AG";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"AI";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"AR";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"BE";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"BL";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"BS";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"FL";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"FR";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"GE";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"GL";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"GR";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"JU";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"LU";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"NE";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"NW";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"OW";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"SG";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"SH";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"SO";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"SZ";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"TG";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"TI";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"UR";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"VD";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"VS";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"ZG";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fixpunkte (Kategorie 2)";"fixpunkte_v1_1";"1.1";"ZH";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fruchtfolgeflächen";"fruchtfolgeflaechen";"1.0";"AG";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fruchtfolgeflächen";"fruchtfolgeflaechen";"1.0";"AI";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fruchtfolgeflächen";"fruchtfolgeflaechen";"1.0";"BE";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fruchtfolgeflächen";"fruchtfolgeflaechen";"1.0";"BL";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fruchtfolgeflächen";"fruchtfolgeflaechen";"1.0";"BS";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
"Fruchtfolgeflächen";"fruchtfolgeflaechen";"1.0";"FR";"Frei erhältlich";False;"Frei erhältlich";False;"";"2024-02-05"
